"address","age","liquidityUsd","makerCount","marketCapUsd","priceChange1h","priceChange24h","priceChange5m","priceChange6h","priceUsd","tokenName","tokenSymbol","transactionCount","volumeUsd"
"3yf4sjyfwbdsjea3li2znnegcvhayktmyxg4vq8ll722","24","43000","1538","136000","0.0626","1.2","-0.09609999999999999","0.0417","0.0001363","Unwoke Opinion","#74
UNWOKE
/
SOL
Unwoke Opinion","6787","777000"
"gjvw8jqspkg5ogjyd3zozfaejsshtajs5zfrext8l12k","3600","3000000","795","73400000","-0.006500000000000001","0.1602","0.0037","-0.0131","0.07342","Ava AI","#75
AVA
/
SOL
Ava AI","8461","2800000"
"hmd7r12favnmkout8ludrtis372d39upb92uqvzia7zv","720","334000","950","3500000","0.0697","0.0525","0.0059","0.008199999999999999","0.003533","AuraFarming","#76
AuraFarm
/
SOL
AuraFarming","3254","637000"
"7rmmys9xbs8uz6bvjskcrhac682hyyxgepajhfvynfxt","48","88000","1228","525000","0.062","0.4325","-0.0182","-0.1466","0.0005257","Forever Alone","#77
Alone
/
SOL
Forever Alone","5170","871000"
"7spcjkqr8ihgjz2jiy8x2rntvdtftaml1pzc7grm132y","480","990000","840","95200000","0.062400000000000004","0.3554","-0.0103","0.0426","0.09826","JProof","#78
DYN
JProof
/
SOL
JProof","3115","1300000"
"8hzdebzbx7sz7eqmod29fdvg3azqgaqpwmcmyota9gzy","96","124000","1891","521000","-0.1197","0.1732","0.0006","0.0134","0.051241","Grassito","#79
CPMM
Grassito
/
SOL
Grassito","8641","1000000"
"bvycsm2qdbhaxvrjlvjyh5pyn44t1uafnva1edck8wah","18","12000","96653","13000","-0.054900000000000004","-0.7931999999999999","-0.028399999999999998","0.41960000000000003","0.0413","Whale House Machine Gun","#80
WHMC
/
SOL
Whale House Machine Gun","112285","1400000"
"3sjnocnkkhwpvxygdtem8rccihsgc9jsfzuuazkbvrvp","4320","3400000","934","51700000","-0.0023","0.0725","0.011399999999999999","0.048499999999999995","0.05178","zerebro","#81
ZEREBRO
/
SOL
zerebro","15984","3900000"
"gchdv1olcku6nhxfqcv3tpwg9l8qupxtzso3u6r6upyv","1440","189000","1629","366000","0.0043","-0.7197","0.0009","-0.031200000000000002","0.0003666","Edward Coristine","#82
BIGBALLS
/
SOL
Edward Coristine","7073","1600000"
"3na1z6w2b7fgstbegwddbmycrpt5ek7xd3tx8e8pnd3j","1","38000","5818","105000","-0.113","0.7523000000000001","0.0265","0.7523000000000001","0.0001059","Donald Grump","#83
DG
/
SOL
Donald Grump","32806","3900000"
"5zv6azn61uj73p1wysp35stpzef9sx1hqzvra1qagahh","48","551000","513054","50200000","0.051100000000000007","-0.1496","0.0022","0.008100000000000001","0.007212","NPCS AI","#84
CPMM
xNPCS
/
SOL
NPCS AI","513659","128000"
"7evjnjdtkxphjgprzqoyfnjdnahuqanm79rz9qctxmqa","12","50000","1233","235000","0.0819","2.67","-0.0487","-0.0368","0.0002351","Eve","#85
Eve
/
SOL
Eve","4794","596000"
"4jxpamaykeyfk2vbgnmnb4cn3gs6xghnzt7gvg7tqhmi","1","96000","5612","653000","-0.0508","2.58","0.0362","2.58","0.0006535","Grouch of the United States","#86
GOTUS
/
SOL
Grouch of the United States
10","44500","6000000"
"5kuvtu1kt8gp92u4zph9sprjze9qpujbw1tmthivzkbf","48","83000","1177","382000","-0.1197","0.5436","-0.0087","-0.0687","0.0003828","Chachamaru","#87
CPMM
CHACHA
/
SOL
Chachamaru","3880","486000"
"gpwanbnkjvykkdj5kjrbt85myafablzfcvxny8u47os","7","27000","10935","58000","-0.0797","-0.7132999999999999",,"-0.9137000000000001","0.045892","Kobushi","#88
Kobushi
/
SOL
Kobushi","53940","5500000"
"fydf3vkqfbcvntsbi7l7lremrfpmxkbqqgagnpg1hxxd","3600","5700000","510","148600000","-0.0066","0.0101","-0.0015","-0.0199","0.1748","Alchemist AI","#89
ALCH
/
SOL
Alchemist AI","5746","1900000"
"geacz94pw7egzsplgnwxrwbna5qptfbruu5epdfjalf2","720","24900000","2072","1150000000","0.0784","0.13449999999999998","-0.0017000000000000001","0.22399999999999998","1.79","TDCCP","#90
CLMM
TDCCP
/
SOL
TDCCP","6827","26500000"
"zcdaw3jpcqey8jyvxnvmqs2cu35cyddy4ot7v8ednhz","7200","1900000","864","26000000","-0.036000000000000004","-0.1344","0.0018","-0.0974","0.04341","DADDY TATE","#91
DADDY
/
SOL
DADDY TATE","2662","837000"
"fce2fd8ww65ofal9yvogjtekcfpcdjfskg31egnzpa79","264","175000","884","2200000","-0.014499999999999999","0.0191","0.0108","0.0516","0.002215","ELI5","#92
CPMM
ELI5
/
SOL
ELI5","4062","561000"
"fekbruxeocskhjdhhxnrbv76eckpsykhphnenw3jpepm","24","330000","5988","16700000","0.10189999999999999","-0.49770000000000003","0.0167","-0.2826","0.01675","New XAI gork","#93
DLMM
gork
/
SOL
New XAI gork","37182","16800000"
"48exm5rhcahddh5v1liije5d2vwkvxb5rgggnbbj5bip","336","257000","840","4300000","0.061200000000000004","0.5728","-0.0288","0.42369999999999997","0.004356","SHART","#94
CPMM
SHART
/
SOL
SHART","2028","290000"
"h7wt3fiapgghzxuumahbjgkomeh1bkvf99eubk98qm8h","24","3700","63520","2300","-0.0458","-0.9962000000000001","0.0139","-0.9899","0.052317","Fast Money Lifestyle","#96
CPMM
FML
/
SOL
Fast Money Lifestyle
50","68361","704000"
"6h48nfcphau9kffv9frrwpqksyd2hcr5apc25shphmti","3","59000","2322","303000","1.77","3.86","0.0004","3.86","0.0003037","what would you put here?","#95
ROOM
/
SOL
what would you put here?","10750","740000"
"fsvg7fsdyr1dpgs1ye2ndotvuumj7pnqkyce1s4mxnpl","24","371000","4175","7600000","0.19140000000000001","2.04","0.0001","0.0481","0.007651","Boopa","#97
DLMM
Boopa
/
SOL
Boopa","10821","4000000"
"dx3ic8lrmtuevkucqqtqpkwxkrnyetcfrcnmukwkzfqa","24","42000","946","130000","0.3478","-0.4824","-0.0013","0.31489999999999996","0.0001309","AxiomBullXPhotonBananaBloom","#98
tek
/
SOL
AxiomBullXPhotonBananaBloom","3346","423000"
"yrrustgpugdp8bbfosqdefssen6sa75zs1qjvgnhtmy","2160","262000","871","6200000","-0.111","-0.0641","0.0111","-0.0547","0.00622","Ben Pasternak (clout.me)","#99
CLMM
PASTERNAK
/
SOL
Ben Pasternak (clout.me)","7404","1800000"
"3bjtn2up6q28uvbse2fvwqu6h2qfsejuqhyu1xmhstqv","1440","547000","816","8100000","0.0277","0.0623","0.004699999999999999","0.0277","0.008191","FAT NIGGA SEASON","#100
FAT
/
SOL
FAT NIGGA SEASON","2192","540000"
